"","rt","shape_org","cueType","e1_motion_dir","e2_motion_dir","responseAR","cuedAR","uncuedAR","coherence","cued_motion_dir","uncued_motion_dir","response_error","trial_number","round_number","sub","arDiff","pairAvg","cuedMotDir1V0H2R","global_org1W0B","sameDirection1S0D","sameDirection1S0D_R2","pairSameARCat","identicalShapesI1D0","randomTrialsR1C0","motionType1Diag0Trans","responseAR_normed","uncuedCat","cuedCat","respAcc","globalMotion"
"1",4450,4,1,270,180,0,0.32,-0.37,1,270,180,-0.32432,0,0,19129,-0.69498,-0.02317,1,1,0,0,0,0,0,0,-0.0772188888888889,"-1",1,0,"1"
"2",5456,4,1,270,270,-0.23,0.28,0.37,1,270,270,-0.50965,1,0,19129,0.09266,0.32432,1,1,1,1,1,0,0,1,-0.384553,"1",1,0,"1"
"3",5091,4,2,180,0,0.28,0.05,0.23,1,0,180,0.23166,2,0,19129,0.18533,0.138995,0,1,0,0,1,0,0,0,0.120464,"1",1,1,"-1"
"4",5773,4,2,180,0,0,-0.23,0.05,1,0,180,0.23166,3,0,19129,0.27799,-0.092665,0,1,0,0,0,0,0,0,0.08108125,"1",-1,0,"-1"
"5",4407,2,2,0,180,0.32,-0.28,0.46,1,180,0,0.60231,4,0,19129,0.74131,0.092665,0,0,0,0,0,0,0,0,0.46910625,"1",-1,0,"-1"
"6",3308,3,2,0,270,0,-0.09,0.32,1,270,0,0.09266,5,0,19129,0.41698,0.11583,1,1,0,0,0,0,0,1,0.0198585714285714,"1",-1,0,"1"
"7",3941,3,1,270,180,0.37,-0.09,-0.23,1,270,180,0.46332,6,0,19129,-0.139,-0.16216,1,1,0,0,1,0,0,0,0.390508571428571,"-1",-1,0,"1"
"8",4274,1,2,270,180,0.32,0.14,0.19,1,180,270,0.18533,7,0,19129,0.04634,0.16216,0,0,0,0,1,0,0,0,0.12741,"1",1,1,"-1"
"9",2924,3,1,90,270,0.28,0.05,0.37,1,90,270,0.23166,8,0,19129,0.32432,0.20849,1,1,0,0,1,0,0,0,0.120464,"1",1,1,"1"
"10",3324,4,2,0,180,0.19,-0.32,0.14,1,180,0,0.50965,9,0,19129,0.46331,-0.092665,0,1,0,0,0,0,0,0,0.297851428571429,"1",-1,0,"-1"
"11",3290,4,1,90,0,0.23,-0.28,0.09,1,90,0,0.50965,10,0,19129,0.37065,-0.092665,1,1,0,0,0,0,0,0,0.37644625,"1",-1,0,"1"
"14",4224,3,1,90,0,-0.09,-0.05,-0.46,1,90,0,-0.04633,13,0,19129,-0.41699,-0.254825,1,1,0,0,1,0,0,0,0.00000399999999999012,"-1",-1,1,"1"
"15",2797,3,2,270,180,-0.19,-0.09,-0.09,1,180,270,-0.09266,14,0,19129,0,-0.09266,0,1,0,0,1,1,0,0,-0.165471428571429,"-1",-1,1,"-1"
"16",2691,3,2,0,180,-0.09,0.09,-0.42,1,180,0,-0.18533,15,0,19129,-0.50965,-0.162165,0,1,0,0,0,0,0,0,-0.150573333333333,"-1",1,0,"-1"
"18",3218,3,1,0,0,0.28,0.23,0.23,1,0,0,0.04633,17,0,19129,0,0.23166,0,1,1,1,1,1,0,1,0.123553333333333,"1",1,1,"-1"
"19",2958,2,2,90,90,-0.28,0,0.32,1,90,90,-0.27799,18,0,19129,0.32432,0.16216,1,0,1,1,0,0,0,1,-0.386096666666667,"1",0,0,"1"
"20",4691,4,1,90,180,0.19,-0.14,0.19,1,90,180,0.32432,19,0,19129,0.32433,0.023165,1,1,0,0,0,0,0,0,0.341174545454545,"1",-1,0,"1"
"21",3275,4,1,180,0,-0.32,0.14,-0.46,1,180,0,-0.46332,20,0,19129,-0.60231,-0.162165,0,1,0,0,0,0,0,0,-0.52123,"-1",1,0,"-1"
"23",3759,4,2,180,90,-0.28,-0.42,-0.42,1,90,180,0.139,22,0,19129,0,-0.41699,1,1,0,0,1,1,0,0,-0.0772188888888889,"-1",-1,1,"1"
"24",4979,4,1,270,270,-0.28,-0.42,-0.42,1,270,270,0.139,23,0,19129,0,-0.41699,1,1,1,1,1,1,0,1,-0.0772188888888889,"-1",-1,1,"1"
"25",4011,4,1,90,90,-0.37,-0.37,-0.32,1,90,90,0,24,0,19129,0.04634,-0.34749,1,1,1,1,1,0,0,1,-0.176908181818182,"-1",-1,1,"1"
"26",3073,4,2,90,90,0.32,-0.23,-0.23,1,90,90,0.55598,25,0,19129,0,-0.23166,1,1,1,1,1,1,0,1,0.40540125,"-1",-1,0,"1"
"27",5814,2,1,270,0,0.32,-0.19,0.46,1,270,0,0.50965,26,0,19129,0.64865,0.138995,1,0,0,0,0,0,0,1,0.194594,"1",-1,0,"1"
"28",2250,3,2,270,180,0.46,0.23,-0.46,1,180,270,0.23166,27,0,19129,-0.69498,-0.11583,0,1,0,0,0,0,0,0,0.308883333333333,"-1",1,1,"-1"
"29",3274,2,1,0,180,0.37,0.14,-0.05,1,0,180,0.23166,28,0,19129,-0.18532,0.04633,0,0,0,0,0,0,0,0,0.17374,"-1",1,1,"-1"
"30",2650,4,2,0,90,0.23,-0.14,-0.19,1,90,0,0.37065,29,0,19129,-0.04633,-0.162165,1,1,0,0,1,0,0,0,0.387504545454545,"-1",-1,0,"1"
"31",2625,1,1,180,0,-0.32,-0.42,-0.19,1,180,0,0.09266,30,0,19129,0.23166,-0.30116,0,0,0,0,1,0,0,0,-0.123548888888889,"-1",-1,1,"-1"
"34",3306,2,1,270,180,-0.23,0.09,0.09,1,270,180,-0.32432,33,0,19129,0,0.09266,1,0,0,0,1,1,0,0,-0.289573333333333,"1",1,0,"1"
"35",3507,3,2,270,180,0.32,0.46,-0.37,1,180,270,-0.139,34,0,19129,-0.83398,0.04633,0,1,0,0,0,0,0,0,-0.00772500000000004,"-1",1,1,"-1"
"36",2943,1,2,180,180,-0.32,-0.28,-0.46,1,180,180,-0.04633,35,0,19129,-0.18533,-0.370655,0,0,1,1,1,0,0,1,-0.17953375,"-1",-1,1,"-1"
"38",2816,4,2,270,270,0.46,0.23,-0.28,1,270,270,0.23166,37,0,19129,-0.50965,-0.023165,1,1,1,1,0,0,0,1,0.308883333333333,"-1",1,1,"1"
"39",5024,1,2,0,270,0.32,0.37,-0.46,1,270,0,-0.04633,38,0,19129,-0.83397,-0.046335,1,0,0,0,0,0,0,1,-0.018535,"-1",1,1,"1"
"40",1992,3,1,0,180,0.32,0.32,0.32,1,0,180,0,39,0,19129,0,0.32432,0,1,0,0,1,1,0,0,0.247101111111111,"1",1,1,"-1"
"41",3895,4,1,0,180,-0.28,-0.42,0.09,1,0,180,0.139,40,0,19129,0.50965,-0.162165,0,1,0,0,0,0,0,0,-0.0772188888888889,"1",-1,1,"-1"
"42",2033,2,2,180,270,-0.32,0.32,0.32,1,270,180,-0.64865,41,0,19129,0,0.32432,1,0,0,0,1,1,0,0,-0.401538888888889,"1",1,0,"1"
"45",3275,2,1,270,90,0.37,0.19,0.28,1,270,90,0.18533,44,0,19129,0.09266,0.23166,1,0,0,0,1,0,0,0,0.1505775,"1",1,1,"1"
